facility_id,program_type,facility_status,facility_name,city,zipcode,school_district_name,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capacity,total_capacity,latitude,longitude,is_active_facility,geo_missing_flag,under5_capacity_current,capacity_inconsistency_flag,zero_total_capacity_flag
573635,GFDC,License,BLUE STAR GROUP NETWORK INC,Bronx,10468,Bronx 10,0,0,0,4,12,16,40.875861,-73.886327,1,False,12,0,0
876851,GFDC,License,JAS MALGOSIA FAMILY INC.,RIDGEWOOD,11385,Queens 24,0,0,0,4,12,16,40.712626,-73.911618,1,False,12,0,0
858758,GFDC,License,"Polanco, Ana",Bronx,10457,Bronx 12,0,0,0,4,12,16,40.842716,-73.892266,1,False,12,0,0
71190,GFDC,License,"Rosner, Elaine",New York,10025,Manhattan 3,0,0,0,4,12,16,40.790056,-73.968408,1,False,12,0,0
860161,SACC,Registration,"SCAN-Harbor, Inc.",New York,10029,Manhattan 4,0,0,0,77,0,77,40.793035,-73.951818,1,False,0,0,0
774636,GFDC,License,"Ramirez De Paulino, Antonia",New York,10033,Manhattan 6,0,0,0,4,12,16,40.852559,-73.933154,1,False,12,0,0
368551,GFDC,License,"Khan, Bibi",Bronx,10470,Bronx 11,0,0,0,4,12,16,40.903516,-73.853622,1,False,12,0,0
853035,FDC,Registration,"Washington, Quayahna",Bronx,10451,Bronx 7,0,0,0,2,6,8,40.822194,-73.91239,1,False,6,0,0
671714,GFDC,License,COLORFUL SUNBURST INC.,Bronx,10466,Bronx 11,0,0,0,4,12,16,40.889837,-73.831954,1,False,12,0,0
824922,GFDC,License,"Glory Keem & Sky Group Family Day Care, LLC",Staten Island,10303,Richmond 31,0,0,0,4,12,16,40.631946,-74.151345,1,False,12,0,0
593803,GFDC,License,J & D Tender Daycare Inc.,Bronx,10469,Bronx 11,0,0,0,4,12,16,40.876002,-73.858896,1,False,12,0,0
709773,SACC,Registration,"New York Edge, Inc.",Brooklyn,11225,Brooklyn 17,0,0,0,288,0,288,40.663881,-73.948373,1,False,0,0,0
232581,SACC,Registration,"KIPS BAY BOYS' CLUB, INC.",Bronx,10465,Bronx 8,0,0,0,200,0,200,40.821213,-73.825745,1,False,0,0,0
629294,GFDC,License,M & M 24HR DAYCARE INC,Bronx,10452,Bronx 9,0,0,0,4,12,16,40.831057,-73.921963,1,False,12,0,0
72052,GFDC,License,"Forbes, Beverley",Brooklyn,11225,Brooklyn 17,0,0,0,4,12,16,40.661967,-73.960425,1,False,12,0,0
725643,GFDC,License,Happy Jungle Day Care Inc,Bronx,10456,Bronx 9,0,0,0,4,12,16,40.825997,-73.907222,1,False,12,0,0
786035,GFDC,License,Sweet Kids Group Family Day Care Corp.,Bronx,10453,Bronx 9,0,0,0,2,12,14,40.847764,-73.911001,1,False,12,0,0
527438,GFDC,License,"Sanchez, Rafael",Bronx,10460,Bronx 12,0,0,0,4,12,16,40.841252,-73.890454,1,False,12,0,0
819527,GFDC,License,THE LITTLE HOUSE OF THE DREAMS DAYCARE CORP,Bronx,10469,Bronx 11,0,0,0,4,12,16,40.867416,-73.851279,1,False,12,0,0
245090,GFDC,License,Elemental Arts Daycare Center Inc.,Brooklyn,11218,Brooklyn 22,0,0,0,4,12,16,40.640515,-73.9664,1,False,12,0,0
59615,FDC,Registration,"Disla, America",Brooklyn,11205,Brooklyn 13,0,0,0,2,6,8,40.691715,-73.970174,1,False,6,0,0
693176,GFDC,License,"Fleary, Yudith",Bronx,10451,Bronx 7,0,0,0,4,12,16,40.813154,-73.925272,1,False,12,0,0
115986,GFDC,License,RAINBOW ROOM DAY CARE,New York,10033,Manhattan 6,0,0,0,4,12,16,40.85149,-73.93702,1,False,12,0,0
848494,GFDC,License,Stepping Stones Group Family DayCare,Far Rockaway,11691,Queens 27,0,0,0,4,12,16,40.596268,-73.774649,1,False,12,0,0
851783,SACC,Registration,"Harriman Summer Camp S-11, Inc",Belle Harbor,11694,Queens 27,0,0,0,39,0,39,40.576555,-73.854043,1,False,0,0,0
876491,FDC,Registration,"Corporan, Katelyn",Bronx,10453,Bronx 10,0,0,0,2,6,8,40.853237,-73.909183,1,False,6,0,0
189651,GFDC,License,"Cubero, Bella",Ridgewood,11385,Queens 24,0,0,0,2,12,14,40.711363,-73.906321,1,False,12,0,0
269754,GFDC,License,"Rodriguez, Aylin",New York,10033,Manhattan 6,0,0,0,2,12,14,40.849668,-73.937728,1,False,12,0,0
434713,GFDC,License,The Fragile Begins,Bronx,10456,Bronx 9,0,0,0,2,12,14,40.836271,-73.902447,1,False,12,0,0
836222,GFDC,License,FAMILY DAY CARE HAPPY FACE INC.,Bronx,10452,Bronx 9,0,0,0,4,12,16,40.842518,-73.919922,1,False,12,0,0
308883,GFDC,License,"Coye, Liliana",Staten Island,10304,Richmond 31,0,0,0,4,12,16,40.616104,-74.082802,1,False,12,0,0
623209,GFDC,License,Learning Together with Love Day Care,Brooklyn,11221,Brooklyn 32,0,0,0,4,12,16,40.694482,-73.912735,1,False,12,0,0
436306,GFDC,License,253 HAPPY KIDS DAYCARE INC,Bronx,10457,Bronx 10,0,0,0,2,12,14,40.854363,-73.899961,1,False,12,0,0
838974,GFDC,License,"Kaba, Mariama",Bronx,10455,Bronx 8,0,0,0,0,8,8,40.815483,-73.904693,1,False,8,0,0
812950,GFDC,License,Neneadama DayCare,Bronx,10462,Bronx 11,0,0,0,0,12,12,40.837322,-73.856323,1,False,12,0,0
266584,GFDC,License,Estelita's Daycare Corp.,Jackson   Heights,11370,Queens 30,0,0,0,4,12,16,40.756719,-73.890111,1,False,12,0,0
485412,GFDC,License,"D'Little Star Day Care, Inc",Jamaica,11435,Queens 28,0,0,0,4,12,16,40.686606,-73.802758,1,False,12,0,0
597346,GFDC,License,CLARIMAR KIDS CORP.,Brooklyn,11220,Brooklyn 15,0,0,0,4,12,16,40.647348,-74.011331,1,False,12,0,0
160474,GFDC,License,"Monheit, Neil",Brooklyn,11230,Brooklyn 22,0,0,0,4,12,16,40.625009,-73.959237,1,False,12,0,0
71901,GFDC,License,"Agoglia, Mavis",Staten Island,10310,Richmond 31,0,0,0,2,12,14,40.629725,-74.106154,1,False,12,0,0
759884,SACC,Registration,"Grand Street Settlement, Inc @ Tompkins Comm. Ctr.",Brooklyn,11206,Brooklyn 14,0,0,0,45,0,45,40.697738,-73.94609,1,False,0,0,0
499128,FDC,Registration,"Wilson, Earnestine",New York,10030,Manhattan 5,0,0,0,2,6,8,40.818105,-73.940124,1,False,6,0,0
145182,FDC,Registration,"Adorno, Milagros",BRONX,10463,Bronx 10,0,0,0,2,6,8,40.876322,-73.908645,1,False,6,0,0
533406,GFDC,License,Ademi Inc.,Brooklyn,11214,Brooklyn 21,0,0,0,4,12,16,40.599807,-73.992622,1,False,12,0,0
765038,SACC,Registration,"Aspira, Inc. @PS/MS 161",New York,10027,Manhattan 6,0,0,0,60,0,60,40.817657,-73.952936,1,False,0,0,0
873512,SACC,Registration,I'RAISE Girls and Boys International Corporation,Brooklyn,11233,Brooklyn 23,0,0,0,111,0,111,40.675123,-73.915349,1,False,0,0,0
742495,SACC,Registration,East Harlem Tutorial Program @PS/IS 171,New York,10029,Manhattan 4,0,0,0,97,0,97,40.792005,-73.95131,1,False,0,0,0
627333,GFDC,License,"Anglade, Patrick",Bronx,10453,Bronx 9,0,0,0,4,12,16,40.848144,-73.919266,1,False,12,0,0
73945,SACC,Registration,YMCA of Greater NY @Harlem Y PS 57,New York,10029,Manhattan 4,0,0,0,74,0,74,40.79748,-73.941356,1,False,0,0,0
659002,GFDC,License,"Peanut Butter and Jelly Daycare, Inc.",BRONX,10462,Bronx 11,0,0,0,4,12,16,40.856473,-73.866754,1,False,12,0,0
247489,GFDC,License,Milagros Family Daycare Inc.,New York,10039,Manhattan 5,0,0,0,2,12,14,40.8249772,-73.939092,1,False,12,0,0
749569,GFDC,License,"Reyes De Munoz, Zuez",Bronx,10451,Bronx 7,0,0,0,2,12,14,40.824083,-73.927082,1,False,12,0,0
150676,FDC,Registration,"Spruill, Lorna",Springfield Gardens,11434,Queens 29,0,0,0,2,6,8,40.675663,-73.7651,1,False,6,0,0
549304,GFDC,License,"Mejia, Joselin",Bronx,10451,Bronx 7,0,0,0,4,12,16,40.822662,-73.912646,1,False,12,0,0
770510,GFDC,License,America's Group Family Day Care Corp.,East Elmhurst,11370,Queens 30,0,0,0,4,12,16,40.759672,-73.886886,1,False,12,0,0
831460,GFDC,License,"Tshuva, Farekho",Flushing,11367,Queens 25,0,0,0,4,12,16,,,1,True,12,0,0
709769,SACC,Registration,"Police Athletic League, Inc",Bronx,10457,Bronx 10,0,0,0,257,0,257,40.848415,-73.892923,1,False,0,0,0
882466,GFDC,License,"Astacio De Rodriguez, Catherine",Bronx,10452,Bronx 9,0,0,0,4,12,16,40.841468,-73.913847,1,False,12,0,0
736108,SACC,Registration,Woodmere Day Care Center Inc.,Brooklyn,11218,Brooklyn 20,0,0,0,13,0,13,40.631467,-73.977107,1,False,0,0,0
391334,GFDC,License,"Schooler, Deborah",Far Rockaway,11692,Queens 27,0,0,0,2,12,14,40.590407,-73.788551,1,False,12,0,0
854082,SACC,Registration,Police Athletic League,Bronx,10459,Bronx 8,0,0,0,260,0,260,40.817224,-73.897428,1,False,0,0,0
183462,GFDC,License,Zambo Childrens Development Center,Brooklyn,11203,Brooklyn 18,0,0,0,4,12,16,40.649656,-73.935175,1,False,12,0,0
683420,GFDC,License,"Guzman, Claudia",Bronx,10458,Bronx 10,0,0,0,4,12,16,40.867935,-73.892547,1,False,12,0,0
374580,GFDC,License,"Crespo, Miguelina",Bronx,10452,Bronx 9,0,0,0,4,12,16,40.831614,-73.921635,1,False,12,0,0
359590,GFDC,License,"My Small Angels Daycare 2, Corp",East  Elmhurst,11369,Queens 30,0,0,0,4,12,16,40.76079,-73.865331,1,False,12,0,0
73173,SACC,Registration,Stagg Street Center for Children,Brooklyn,11206,Brooklyn 14,0,0,0,22,0,22,40.709215,-73.947372,1,False,0,0,0
857791,GFDC,License,RIVERDALE WONDERLAND DAYCARE CORP.,Bronx,10463,Bronx 10,0,0,0,4,12,16,40.885226,-73.904494,1,False,12,0,0
848648,GFDC,License,"Beam, Tracey Ann",staten island,10310,Richmond 31,0,0,0,4,12,16,40.632285,-74.118826,1,False,12,0,0
348885,SACC,Registration,Jacob A. Riis Settlement House @ PS 166,Long Island City,11106,Queens 30,0,0,0,216,0,216,40.757339,-73.926471,1,False,0,0,0
470395,GFDC,License,"Butterfly 1, Inc.",Brooklyn,11235,Brooklyn 22,0,0,0,4,12,16,40.583993,-73.952815,1,False,12,0,0
882804,GFDC,License,SANCHEZ G. CORP.,Bronx,10452,Bronx 9,0,0,0,4,12,16,40.840834,-73.915176,1,False,12,0,0
280643,GFDC,License,NAC CHRISTIAN GROUP FAMILY DAY CARE,Jamaica,11423,Queens 29,0,0,0,0,10,10,40.709794,-73.764859,1,False,10,0,0
847573,SACC,Registration,Young Excellence Society Inc.,New York,10030,Manhattan 5,0,0,0,50,0,50,40.815996,-73.94497,1,False,0,0,0
748366,SACC,Registration,"New York Center for Interpersonal Development, Inc.",Staten Island,10309,Richmond 31,0,0,0,122,0,122,40.541666,-74.218138,1,False,0,0,0
837597,SACC,Registration,I Have a Dream Foundation,New York,10001,Manhattan 2,0,0,0,84,0,84,40.748836,-73.99981,1,False,0,0,0
663091,GFDC,License,"Ortiz, Fridelin",New York,10040,Manhattan 6,0,0,0,2,12,14,40.861838,-73.927969,1,False,12,0,0
874794,GFDC,License,"Reyes, Alicia",bronx,10467,Bronx 10,0,0,0,4,12,16,40.877515,-73.88201,1,False,12,0,0
825716,FDC,Registration,"Lloyd, Judith",Bronx,10466,Bronx 11,0,0,0,2,6,8,40.885278,-73.852072,1,False,6,0,0
782903,GFDC,License,"Sanchez, Claudia",Bronx,10460,Bronx 12,0,0,0,0,10,10,40.844839,-73.882689,1,False,10,0,0
863025,SACC,Registration,Stats Legacy Inc,Brooklyn,11236,Brooklyn 18,0,0,0,80,0,80,40.641094,-73.898145,1,False,0,0,0
327715,GFDC,License,"Fattakhova, Mira",Forest Hills,11375,Queens 24,0,0,0,4,12,16,40.735711,-73.852938,1,False,12,0,0
350876,FDC,Registration,"Almonte, Maria",Bronx,10468,Bronx 10,0,0,0,0,6,6,40.871241,-73.898752,1,False,6,0,0
380479,FDC,Registration,"Cheta, Durmatee",Richmond Hill,11419,Queens 27,0,0,0,2,6,8,40.685015,-73.823362,1,False,6,0,0
872586,FDC,Registration,"Cordova, Socorro",New York,10025,Manhattan 3,0,0,0,2,6,8,40.803345,-73.965097,1,False,6,0,0
747457,GFDC,License,"Sugar Snap, LLC",Brooklyn,11238,Brooklyn 13,0,0,0,4,12,16,40.684824,-73.961562,1,False,12,0,0
569517,GFDC,License,"Watson, Patricia",Bronx,10469,Bronx 11,0,0,0,4,12,16,40.880364,-73.849526,1,False,12,0,0
663199,GFDC,License,"Miolan, Ingrid",Bronx,10453,Bronx 10,0,0,0,4,12,16,40.857319,-73.901051,1,False,12,0,0
218090,GFDC,License,"Dinardo, Anna",BRONX,10465,Bronx 8,0,0,0,4,12,16,40.823717,-73.818666,1,False,12,0,0
790906,SACC,Registration,"Steps to Success V, LLC",Brooklyn,11235,Brooklyn 21,0,0,0,60,0,60,40.580546,-73.96593,1,False,0,0,0
845466,FDC,Registration,"Abreu, Xiomara",Bronx,10457,Bronx 10,0,0,0,2,6,8,40.854172,-73.900434,1,False,6,0,0
118175,SACC,Registration,Beansprouts,Brooklyn,11215,Brooklyn 15,0,0,0,62,0,62,40.668804,-73.983502,1,False,0,0,0
878046,GFDC,License,"Ewola, Imuetinyan",ROSEDALE,11422,Queens 29,0,0,0,4,12,16,40.666852,-73.734463,1,False,12,0,0
489165,GFDC,License,"Jean, Marjorie",Brooklyn,11234,Brooklyn 22,0,0,0,4,12,16,40.625378,-73.920589,1,False,12,0,0
50495,FDC,Registration,"Anderson-Frye, Karen",Bronx,10467,Bronx 11,0,0,0,2,6,8,40.861707,-73.863448,1,False,6,0,0
800709,SACC,Registration,BPA of NY INC.,Queens,11365,Queens 25,0,0,0,267,0,267,40.740697,-73.808758,1,False,0,0,0
362595,GFDC,License,"Nunez De Hernandez, Rafaela",Bronx,10468,Bronx 10,0,0,0,2,10,12,40.870237,-73.899768,1,False,10,0,0
880325,GFDC,License,REACH LEARNING LLC,Brooklyn,11203,Brooklyn 18,0,0,0,4,12,16,40.65331,-73.926459,1,False,12,0,0
603426,GFDC,License,Youth Success DayCare,Bronx,10459,Bronx 12,0,0,0,4,12,16,40.831847,-73.895986,1,False,12,0,0
606328,GFDC,License,Growing Brains Inc.,Bayside,11361,Queens 26,0,0,0,4,12,16,40.770135,-73.773849,1,False,12,0,0
230920,SACC,Registration,Queens Community House,Jamaica,11435,Queens 28,0,0,0,260,0,260,40.703812,-73.811993,1,False,0,0,0
665593,GFDC,License,"Patrick- George, Debra",Brooklyn,11210,Brooklyn 22,0,0,0,4,12,16,40.632746,-73.957515,1,False,12,0,0
120214,GFDC,License,"Thomas, Lynette",Brooklyn,11210,Brooklyn 22,0,0,0,4,12,16,40.632896,-73.941651,1,False,12,0,0
680477,FDC,Registration,"Salvatierra, Mariana",Bronx,10455,Bronx 7,0,0,0,2,6,8,40.816035,-73.907376,1,False,6,0,0
212911,GFDC,License,"Lamboy, Bernadette",BRONX,10455,Bronx 8,0,0,0,4,12,16,40.813027,-73.901705,1,False,12,0,0
379420,GFDC,License,"Smith, Patrice",Staten Island,10302,Richmond 31,0,0,0,4,12,16,40.640109,-74.135627,1,False,12,0,0
767618,GFDC,License,My Little House Corp,Bronx,10453,Bronx 10,0,0,0,4,12,16,40.857319,-73.901051,1,False,12,0,0
812935,SACC,Registration,Research Foundation of the CUNY @ NYCHA Saratoga Village,Brooklyn,11233,Brooklyn 32,0,0,0,80,0,80,40.686178,-73.917285,1,False,0,0,0
139195,SACC,Registration,The Children's Aid Society,New York,10029,Manhattan 4,0,0,0,199,0,199,40.78531,-73.941321,1,False,0,0,0
543420,GFDC,License,Tiny Quarters Daycare,BRONX,10467,Bronx 11,0,0,0,4,12,16,40.860186,-73.864816,1,False,12,0,0
650114,FDC,Registration,T & S SMALL BLESSINGS DAYCARE LLC,Brooklyn,11236,Brooklyn 18,0,0,0,2,6,8,40.632167,-73.8993,1,False,6,0,0
653844,GFDC,License,"Garcia, Mallerlyn",New York,10033,Manhattan 6,0,0,0,4,12,16,40.850369,-73.939867,1,False,12,0,0
385789,GFDC,License,LITTLE STAR DAYCARE I INC.,Bronx,10460,Bronx 11,0,0,0,4,12,16,40.839549,-73.867099,1,False,12,0,0
844004,GFDC,License,Kiddo's Club Daycare Inc,Bronx,10465,Bronx 8,0,0,0,4,12,16,40.828826,-73.824784,1,False,12,0,0
